Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 12288, 1, 12, 8, 0.185247, 0.155712, N/A, 0.00368603, 0.00969547, 7.68324, 0.0161601, 2, 2, 0.5, 8, 16, 1, 77.9783, 2, 2, 0.5, 1, 1, 1, 76.6178, 
22, 12288, 1, 16, 8, 0.170585, 0.145528, N/A, 0.00384825, 0.00983059, 8.46705, 0.021591, 2, 2, 0.25, 4, 16, 1, 78.2585, 2, 2, 0.5, 1, 1, 1, 75.0773, 
22, 12288, 1, 12, 64, 0.214926, 0.290069, N/A, 0.00544057, 0.0113885, 7.32999, 0.0250491, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.6178, 
22, 12288, 1, 12, 64, 0.214926, 0.290069, N/A, 0.00544057, 0.0113885, 7.32999, 0.0250491, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.6178, 
22, 12288, 1, 12, 64, 0.214926, 0.290069, N/A, 0.00544057, 0.0113885, 7.32999, 0.0250491, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.6178, 
22, 12288, 1, 12, 64, 0.214926, 0.290069, N/A, 0.00544057, 0.0113885, 7.32999, 0.0250491, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.6178, 
22, 12288, 1, 12, 64, 0.227365, 0.290069, N/A, 0.00621902, 0.0160097, 8.62277, 0.0286327, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.343, 
22, 12288, 1, 12, 64, 0.175037, 0.290069, N/A, 0.0193155, 0.0359987, 9.04328, 0.0286092, 2, 2, 1, 2, 1, 1, 41.6813, 2, 2, 0.5, 1, 1, 1, 76.343, 
22, 12288, 1, 12, 64, 0.227365, 0.290069, N/A, 0.00621902, 0.0160097, 8.62277, 0.0286327, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.343, 
22, 12288, 1, 12, 64, 0.227365, 0.290069, N/A, 0.00621902, 0.0160097, 8.62277, 0.0286327, 2, 2, 1, 2, 16, 1, 69.6596, 2, 2, 0.5, 1, 1, 1, 76.343, 
